Article	Description	KPWHZO	KPWHLO	KPCASE	KPAVAL	Quantity
DG000081.02	USB CABL IQOS (PALE BLUE SLU) OPK 1	BLB	B01	NCI300015700010	1	500
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300292700070	0	20
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300316600100	1	20
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300334600090	1	40
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300389300170	1	160
DK001839.02	KIT LIL SOLID 2.0 STONE GREY OPK 1	PIO	P2-78	NCI300389300180	0	40
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	BLB	B03	NCI300485600010	1	90
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	BLB	B04	NCI300334600010	1	330
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	HA2	RAMPA15	NCI300467200010	1	180
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	PIO	P2-66	NCI300430400020	0	270
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	PIO	P2-66	NCI300449500010	1	30
DK002871.00	KIT IQOS ILUMA AZURE BLUE	KLC	FRONTA	NCI300081500023	1	30
DK002871.01	KIT IQOS ILUMA AZURE BLUE	BLB	B02	NCI300467200020	1	60
DK002871.01	KIT IQOS ILUMA AZURE BLUE	BLB	B02	NCI300485600020	1	90
DK002871.01	KIT IQOS ILUMA AZURE BLUE	BLB	B04	NCI300389300020	1	240
DK002871.01	KIT IQOS ILUMA AZURE BLUE	PIO	P2-70	NCI300430400030	0	90
DK002871.01	KIT IQOS ILUMA AZURE BLUE	PIO	P2-70	NCI300449500020	1	60
DK002872.00	KIT IQOS ILUMA PEBBLE BEIGE	KLC	FRONTA	NCI017822065	1	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	BLB	B02	NCI300467200030	1	90
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	BLB	B04	NCI300485600030	1	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300316600030	0	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300334600030	1	300
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300430400040	1	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300449500030	1	90
DK002873.01	KIT IQOS ILUMA SUNSET RED	BLB	B02	NCI300292700030	1	30
DK002873.01	KIT IQOS ILUMA SUNSET RED	BLB	B02	NCI300467200040	1	30
DK002873.01	KIT IQOS ILUMA SUNSET RED	BLB	B02	NCI300485600040	1	150
DK002873.01	KIT IQOS ILUMA SUNSET RED	PIO	P2-85	NCI300389300030	0	90
DK002873.01	KIT IQOS ILUMA SUNSET RED	PIO	P2-85	NCI300430400050	1	210
DK002873.01	KIT IQOS ILUMA SUNSET RED	PIO	P2-85	NCI300449500040	1	60
DK002874.01	KIT IQOS ILUMA MOSS GREEN	BLB	B02	NCI300316600050	1	60
DK002874.01	KIT IQOS ILUMA MOSS GREEN	BLB	B04	NCI300449500050	1	90
DK002874.01	KIT IQOS ILUMA MOSS GREEN	BLB	B04	NCI300467200050	1	90
DK002874.01	KIT IQOS ILUMA MOSS GREEN	PIO	P2-84	NCI300334600050	0	240
DK002874.01	KIT IQOS ILUMA MOSS GREEN	PIO	P2-84	NCI300430400060	1	30
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	BLB	B03	NCI300485600050	1	60
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	BLB	B04	NCI300467200060	1	90
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	PIO	P2-79	NCI300430400070	0	120
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	PIO	P2-79	NCI300449500060	1	300
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	BLB	B02	NCI300467200070	1	60
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	BLB	B03	NCI300485600060	1	30
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	PIO	P2-57	NCI300389300040	0	60
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	PIO	P2-57	NCI300430400080	1	360
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	PIO	P2-57	NCI300449500070	1	30
DK002881.01	KIT IQOS ILUMA ONE PEBBLE BEIGE	BLB	B03	NCI300485600070	1	30
DK002881.01	KIT IQOS ILUMA ONE PEBBLE BEIGE	PIO	P2-83	NCI300398900010	0	540
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B01	NCI300292700060	1	120
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B02	NCI300467200080	1	30
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B03	NCI300485600080	1	30
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B04	NCI300316600080	1	240
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	PIO	P2-92	NCI300430400090	0	90
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	PIO	P2-92	NCI300449500080	1	60
DK002883.01	KIT IQOS ILUMA ONE MOSS GREEN	BLB	B01	NCI300334600080	1	300
DK002883.01	KIT IQOS ILUMA ONE MOSS GREEN	BLB	B01	NCI300430400100	1	120
DK002883.01	KIT IQOS ILUMA ONE MOSS GREEN	BLB	B01	NCI300449500090	1	90
DK002883.01	KIT IQOS ILUMA ONE MOSS GREEN	BLB	B04	NCI300485600090	1	30
DN000054.02	ACC IQOS (PALE BLUE SLU) OPK 1	BLB	B02	NCI300065300010	0	50
DN000054.02	ACC IQOS (PALE BLUE SLU) OPK 1	PIO	P2-86	NCI300015700030	1	550
DR000086.00	10 CLEANING STICKS GLYCERINE	PIO	P2-61	NCI300087000010	0	4150
EE000414.00	KIT VEEV ONE ELECTRIC PURPLE	KLC	FRONTA	NCI300430400111	1	50
FA029024.34	L&M BLUE LABEL KS SOF 20	HA2	LIKVIDACEL	NCI017724000	1	220
FA029024.34	L&M BLUE LABEL KS SOF 20	HA2	LIKVIDACEL	NCI300119200360	1	500
FA029024.34	L&M BLUE LABEL KS SOF 20	HA2	LIKVIDACEL	NCI300119200361	1	500
FA029024.34	L&M BLUE LABEL KS SOF 20	HA2	LIKVIDACEL	NCI300119200362	1	500
FA029024.34	L&M BLUE LABEL KS SOF 20	KLC	ZUMPA	NCI300323900010	1	20
FA029024.34	L&M BLUE LABEL KS SOF 20	KLC	ZUMPA	NCI300459700050	1	20
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800070	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800080	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800110	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800140	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800170	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800180	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLD	D03	NCI300449800190	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800030	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800040	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800050	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800060	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800200	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800210	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800220	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800230	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800240	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLF	F12	NCI300449800250	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLI	I33	NCI300449800020	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	BLI	I33	NCI300449800260	1	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	OUT	GATEB-W	NCI300449800292	0	500
FA029024.35	L&M BLUE LABEL KS SOF 20	OUT	GATED-W	NCI300449800293	0	500
FA029024.35	L&M BLUE LABEL KS SOF 20	OUT	GATED-W	NCI300449800294	0	1000
FA029024.35	L&M BLUE LABEL KS SOF 20	PIO	P2-31	NCI300449800010	0	10500
FA029024.35	L&M BLUE LABEL KS SOF 20	PIO	P2-31	NCI300449800280	0	3500
FA032485.42	L&M RED LABEL 100 RCB 20	BLL	L05	NCI300167100200	1	4500
FA032485.42	L&M RED LABEL 100 RCB 20	BLL	L05	NCI300167100220	1	6000
FA032485.42	L&M RED LABEL 100 RCB 20	KLC	ZUMPA	NCI300288900010	1	30
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400010	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400020	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400030	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400040	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400050	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400060	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400070	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLC	C18	NCI300492400080	1	2500
FA032485.44	L&M RED LABEL 100 RCB 20	BLH	H02	NCI300345300060	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	BLH	H02	NCI300345300070	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	PIO	P1-05	NCI300345300080	0	6000
FA032485.44	L&M RED LABEL 100 RCB 20	PIO	P1-05	NCI300345300090	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	PIO	P1-05	NCI300345300100	1	6000
FA032485.44	L&M RED LABEL 100 RCB 20	PIO	P1-05	NCI300345300110	0	6000
FA032485.44	L&M RED LABEL 100 RCB 20	PIO	P1-05	NCI300345300130	0	4000
FA032486.43	L&M BLUE LABEL 100 RCB 20	HA2	LIKVIDACEL	NCI300167700200	1	470
FA032486.43	L&M BLUE LABEL 100 RCB 20	HA2	LIKVIDACEL	NCI300167700211	1	500
FA032486.43	L&M BLUE LABEL 100 RCB 20	KLC	ZUMPA	NCI017866836	1	30
FA032486.43	L&M BLUE LABEL 100 RCB 20	KLC	ZUMPA	NCI300283300060	1	10
FA032486.43	L&M BLUE LABEL 100 RCB 20	KLC	ZUMPA	NCI300285000010	1	20
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLC	C28	NCI300391100030	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLC	C28	NCI300391100040	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLC	C28	NCI300391100050	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLC	C28	NCI300391100060	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLC	C28	NCI300391100070	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400090	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400100	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400110	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400120	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400130	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400140	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400150	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400160	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400170	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400180	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400190	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400200	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400210	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLD	D05	NCI300492400220	1	5500
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLG	G31	NCI300391100080	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLG	G31	NCI300391100090	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLG	G31	NCI300391100100	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLG	G31	NCI300391100110	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	BLG	G31	NCI300391100120	1	6000
FA032486.44	L&M BLUE LABEL 100 RCB 20	OUT	GATEO-W	NCI300391100013	0	500
FA032486.44	L&M BLUE LABEL 100 RCB 20	OUT	GATEO-W	NCI300391100014	0	500
FA032486.44	L&M BLUE LABEL 100 RCB 20	PIO	P1-03	NCI300391100010	0	4000
FA032486.44	L&M BLUE LABEL 100 RCB 20	PIO	P1-03	NCI300391100020	0	6000
FA054883.28	L&M RED LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300106100070	1	380
FA054883.28	L&M RED LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300106100071	1	500
FA054883.28	L&M RED LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300106100073	1	500
FA054883.28	L&M RED LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300106100074	1	500
FA054883.28	L&M RED LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300106100075	1	500
FA054883.28	L&M RED LABEL KS RCB 20	KLC	ZUMPA	NCI300193100681	1	50
FA054883.28	L&M RED LABEL KS RCB 20	KLC	ZUMPA	NCI300275600020	1	40
FA054883.28	L&M RED LABEL KS RCB 20	KLC	ZUMPA	NCI300283300050	1	20
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100210	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100220	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100230	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100240	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100250	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100260	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100270	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100280	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100290	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100300	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100310	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100320	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100330	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100340	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100350	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100360	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100370	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100380	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100390	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLA	A31	NCI300367100400	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100410	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100420	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100430	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100440	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100450	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100460	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100470	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100480	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100490	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100500	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100510	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100520	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100530	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100540	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100550	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100560	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100570	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100580	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLB	B29	NCI300367100590	1	5000
FA054883.29	L&M RED LABEL KS RCB 20	BLG	G41	NCI300363500330	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLG	G41	NCI300363500340	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLG	G41	NCI300363500350	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLG	G41	NCI300363500360	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLG	G41	NCI300363500470	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	BLG	G41	NCI300363500480	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	KLC	ZDRAVE	NCI300351300440	1	480
FA054883.29	L&M RED LABEL KS RCB 20	KLC	ZDRAVE	NCI300363500398	1	490
FA054883.29	L&M RED LABEL KS RCB 20	KLC	ZUMPA	NCI300351300447	1	20
FA054883.29	L&M RED LABEL KS RCB 20	KLC	ZUMPA	NCI300363500490	1	10
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATEB-W	NCI300363500434	0	500
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATEB-W	NCI300363500435	0	1000
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATED-W	NCI300363500436	0	500
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATED-W	NCI300363500437	0	1000
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATEO-W	NCI300363500438	0	500
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATEO-W	NCI300363500448	0	500
FA054883.29	L&M RED LABEL KS RCB 20	OUT	GATEV-W	NCI300363500439	0	500
FA054883.29	L&M RED LABEL KS RCB 20	PIO	P1-08	NCI300363500370	0	7000
FA054883.29	L&M RED LABEL KS RCB 20	PIO	P1-08	NCI300363500380	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	PIO	P1-08	NCI300363500430	0	500
FA054883.29	L&M RED LABEL KS RCB 20	PIO	P1-08	NCI300363500450	1	7000
FA054883.29	L&M RED LABEL KS RCB 20	PIO	P1-08	NCI300363500460	0	7000
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100650	1	410
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100655	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100656	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100657	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100658	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100659	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100664	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100665	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100666	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100667	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100668	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100669	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100670	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300295100671	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300298700322	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300298700680	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300298700681	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300298700682	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	HA2	LIKVIDACEL	NCI300298700683	1	500
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300139800228	1	6
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300154900650	1	100
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300154900660	1	60
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300154900670	1	40
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300167500670	1	80
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300236900011	1	30
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300283300070	1	20
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300284700010	1	50
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300287000010	1	10
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300298700670	1	70
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300312600010	1	10
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300316700010	1	10
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300320300020	1	6
FA054884.30	L&M BLUE LABEL KS RCB 20	KLC	ZUMPA	NCI300320300021	1	4
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400270	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400280	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400290	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400300	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400310	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400320	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400330	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400340	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400350	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400360	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400370	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400380	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400390	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400400	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400410	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400420	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400430	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400440	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400450	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLA	A11	NCI300390400460	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400530	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400540	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400550	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400560	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400570	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400580	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400590	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400600	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400650	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLB	B18	NCI300390400660	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300390400610	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300390400620	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300390400630	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300390400640	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200010	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200020	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200230	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200240	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200250	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200260	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200270	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200280	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200290	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLC	C09	NCI300395200300	1	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLD	D18	NCI300493600390	0	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLD	D18	NCI300493600400	0	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLD	D18	NCI300493600410	0	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLD	D18	NCI300493600420	0	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLD	D18	NCI300493600430	0	7000
FA054884.31	L&M BLUE LABEL KS RCB 20	BLD	D18	NCI300493600440	0	7000
